Floor,Room_No.,Room_Name,Room_Type_No.,Room_Type_Name,Area_m2,Volume_m3,Specific_Cooling_Demand_per_m2_W_per_m2,Specific_Cooling_Demand_per_Person_W_per_Pers,Additional_Internal_Loads_W,Total_Cooling_Load_kW,Cooling_Type,Cooling_Capacity_W,Cooling_Count,Total_Cooling_kW,Specific_Heating_Demand_per_m2_W_per_m2,Total_Heating_Load_kW,Heating_Type,Heating_Capacity_W,Heating_Count,Total_Heating_kW
OG4_OKRFB,D4 18,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26240.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 19,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26550.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 20,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26550.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 21,Allg. & Gruppenleitung,2.0,Einzel-/Zweierbüros,18000.0,54350.0,50.0,0.0,0.0,0.0,900,1.0,90.0,0.0,40.0,72.0,H-K-Segel,720.0,1.0,72.0
OG4_OKRFB,D4 23,Wiss.Mitarbeiter,2.0,Einzel-/Zweierbüros,9000.0,26550.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 24,Techniker,2.0,Einzel-/Zweierbüros,9000.0,25920.0,50.0,0.0,0.0,0.0,450,1.0,45.0,0.0,40.0,36.0,H-K-Segel,360.0,1.0,36.0
OG4_OKRFB,D4 25,Installationsschacht,18.0,Schächte,8000.0,23240.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG4_OKRFB,D4 26,Etagenverteiler,13.0,Etagenverteiler,8000.0,23240.0,0.0,0.0,3.5,0.0,"3,500",1.0,350.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG4_OKRFB,Mo4 01,Flur,17.0,Treppenhäuser/Magistrale,57000.0,172350.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,143.0,HK,1.43,1.0,143.0
OG4_OKRFB,Mo4 02,Putzmittel / Lager,10.0,Putzmittel/ Lager,10000.0,28520.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,15.0,,0.0,0.0,0.0
OG4_OKRFB,MO4 03,Aufzug,19.0,Aufzüge,9000.0,26170.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
OG4_OKRFB,Mo4 04,WC Frauen,8.0,WCs,3000.0,10050.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,,0.0,0.0,0.0
OG4_OKRFB,MO4 05,Putzraum,10.0,Putzmittel/ Lager,2000.0,4750.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.0,3.0,,0.0,0.0,0.0
